artwork - UNIQUE_KEY,artwork - DATE_EXECUTION_DATATION_TXT
254911,16e siècle
254922,
254923,1ère moitié du 17e siècle
254924,2e quart du 17e siècle - 3e quart du 17e siècle
254927,
254929,
254928,
254930,
254931,17e siècle - 18e siècle
254932,1er quart du 18e siècle
254933,18e siècle
254779,
254780,Vers le 15e siècle
229294,1ère moitié du 18e siècle
229496,
254781,
254782,15e siècle - 1er quart du 16e siècle
254783,15e siècle
254784,15e siècle
254785,16e siècle
254786,15e siècle - 16e siècle
254787,Vers 1500
254790,Vers 1500
254791,Vers 1500
254792,Vers 1500
254793,Vers 1500
254794,Vers 1500
254795,1er quart du 16e siècle
229476,
254876,16e siècle
254877,16e siècle
254878,15e siècle
254879,4e quart du 15e siècle
254880,Vers 1500
254881,4e quart du 15e siècle
254882,16e siècle
254883,15e siècle
254884,15e siècle - 16e siècle
254885,15e siècle
254888,15e siècle
254891,Vers 1500
254892,15e siècle - 16e siècle
254894,1er quart du 16e siècle
254896,16e siècle
254900,16e siècle
251922,18e siècle
251378,1780
251823,18e siècle
251691,1781
251319,1753 - 1754
254742,15e siècle
254743,15e siècle
254744,15e siècle
254745,15e siècle
254750,15e siècle
254751,15e siècle
254752,1er quart du 16e siècle
254753,1ère moitié du 15e siècle
254754,1ère moitié du 15e siècle
254756,
254758,Vers à la 2e moitié du 15e siècle
251032,1768
250949,1763
251232,1787
254659,15e siècle
251205,1786
250834,1757 - 1758
254664,1er quart du 16e siècle
250874,1761
229238,
251382,1783
250173,1509
228755,18e siècle
251907,18e siècle
251626,1757
255082,18e siècle
255083,18e siècle
255084,4e quart du 18e siècle
255085,4e quart du 18e siècle
255086,4e quart du 19e siècle
255087,4e quart du 19e siècle
255088,4e quart du 18e siècle - 1er quart du 19e siècle
255089,4e quart du 18e siècle - 1er quart du 19e siècle
255090,4e quart du 18e siècle - 1er quart du 19e siècle
136961,
251917,1725 - 1735
23510,16e siècle
254862,2e quart du 16e siècle - 3e quart du 16e siècle
251920,18e siècle
251034,1768
251124,1772
251169,1780
251225,1786
251212,1786
251474,1765
250848,1757 - 1758
250732,1765
251166,1780
251789,1er quart du 19e siècle
251797,18e siècle
251531,1771
251035,1760
251960,18e siècle
250976,1765
250982,1765
229111,Vers 1600
251112,1771
251175,1782
251830,18e siècle
251747,18e siècle
251131,1773
251162,1780
229285,2e moitié du 17e siècle - 1ère moitié du 18e siècle
251054,1769
251290,1752 - 1754
251028,1768
251029,1768
251496,1765
251506,1766
251522,1766
134458,Vers 1780
251678,1772
251682,1775
251684,1775
251666,1769
251667,1769
251996,1760
251081,1770
251091,1770
250879,1759 - 1761
251862,18e siècle
251866,
251834,1er quart du 20e siècle
251256,1752 - 1753
251401,1759 - 1760
251415,1758 - 1759
254316,19e siècle
251077,1772
251057,1769
251451,1770
251452,1770
251495,1765
251576,1767
251868,18e siècle
250950,1763
250862,1758 - 1759
251837,18e siècle
251839,4e quart du 19e siècle
251457,1771
251465,1771
251948,18e siècle
232202,19e siècle
251596,1756 - 1757
251646,1764
253826,19e siècle
254617,Vers 1400
254619,1ère moitié du 15e siècle
251738,4e quart du 18e siècle
251739,4e quart du 18e siècle
251800,18e siècle
229498,19e siècle
229488,
251088,1770
251353,1769
250967,1764
251117,1771
251961,18e siècle
251217,1786
251533,1771
250920,1759
251033,1760
251092,1770
251672,1770 - 1785
251679,1788
251685,1776
251182,1783
251538,1765 - 1771
251065,1770
251066,1770
250906,1760
250793,1754 - 1755
250795,1753 - 1754
250878,1757 - 1761
251193,1784
229351,1ère moitié du 18e siècle
251350,1768
251687,1777
251453,1770
251577,1766
250746,1754 - 1755
250918,1760
251849,18e siècle
251884,
251886,
251523,1766
251524,1766
251525,1766
250885,1759 - 1760
251689,1780
251093,1770
250989,1765
251010,1768
251454,1770
251631,1760
250923,1760
250993,1765
251267,1752 - 1753
251104,1771
251153,1778
251189,1783
251434,1756 - 1757
251130,1773
251139,1774
254284,1771
254287,2e moitié du 18e siècle - 19e siècle
251128,1773
251471,1765
251472,1765
250780,1753 - 1754
251276,1752 - 1754
251279,1752 - 1754
251675,1771
251438,1757 - 1758
251442,1786
251803,1760 - 1770
251106,1771
251110,1771
251690,1780
251787,19e siècle
229461,18e siècle
251483,1765
251492,1765
251227,1787
251230,1787
251677,1771
251815,
250175,4e quart du 18e siècle
229281,18e siècle
251052,1769
251053,1769
251414,1756 - 1757
251539,1765 - 1771
251540,1765 - 1771
251071,1770
251074,1770
251075,1770
250937,1761
250938,1761
250913,1760
251020,1768
251024,1768
250943,1763
251437,1765
254578,1766
251356,1769
251359,1775
251464,1771
251467,1765
251657,1765
251694,1784
251095,1770
251440,1771
251445,1765
251206,1786
251209,1786
251527,1770
251734,1775
251870,18e siècle
251953,18e siècle
251202,1785
254620,1ère moitié du 15e siècle
254622,1ère moitié du 15e siècle
254668,4e quart du 15e siècle
251941,18e siècle
251950,18e siècle
251954,18e siècle
254585,1767
250992,1765
250998,1767
251553,1765
251554,1766
251563,1766
250882,1757 - 1760
251343,1764
250861,1758 - 1759
250179,
250183,1914 - 1918
251779,18e siècle
251780,18e siècle
250978,1765
251914,
250866,1758 - 1759
251683,1779
250873,1759 - 1760
251392,1788
251508,1766
251509,1766
251925,18e siècle
250180,
250867,1758 - 1759
251399,1774
251403,Vers 1760
251001,1772
250876,1757 - 1761
250990,1766
251448,1769
251462,1770
251795,18e siècle
251936,18e siècle
251946,18e siècle
251959,18e siècle
251963,18e siècle
254586,1766
251115,1771
251119,1772
251120,1772
251568,1765
251012,1768
251891,
250884,1759 - 1760
250886,1759 - 1760
251968,18e siècle
250881,1761
229276,2e moitié du 17e siècle - 1ère moitié du 18e siècle
251578,1766
251579,1768
251826,
251831,18e siècle
229137,18e siècle
229380,1ère moitié du 18e siècle
254654,15e siècle
254666,Vers 1500
254667,1er quart du 15e siècle
251021,1768
251163,1780
251323,Vers 1753
251921,18e siècle
251923,Vers 1795
251924,18e siècle
229409,18e siècle
251838,4e quart du 18e siècle
251692,1782
251742,18e siècle
251743,1775 - 1780
250755,1766
229149,4e quart du 18e siècle - 19e siècle
229384,1ère moitié du 18e siècle
250786,1753 - 1754
250790,1754 - 1755
251927,18e siècle
251380,1783
251411,1770
251416,1767
254658,2e moitié du 15e siècle
254660,4e quart du 15e siècle
251195,1785
251512,1766
251521,1766
251951,19e siècle
250960,1763
251420,1770
251138,1774
251141,1774
254283,1770
254662,Vers 1500
251211,1786
251329,1755
251466,1771
251468,1765
251470,1765
251893,
251952,18e siècle
251955,18e siècle
251962,18e siècle
250964,1764
251969,18e siècle
251970,19e siècle
251580,1772
251582,1765 - 1770
229157,18e siècle
250816,1756 - 1757
251778,18e siècle
251901,
251903,
251904,
251334,1757 - 1758
229337,1ère moitié du 18e siècle
251698,1792
232173,17e siècle
251929,19e siècle
251931,1er quart du 19e siècle
251934,18e siècle
251935,18e siècle
254327,19e siècle
229485,19e siècle
251170,1780
251089,1770
250824,1756 - 1757
254318,19e siècle
250797,1754 - 1755
250798,1754 - 1755
251443,1786
251552,1765
250813,1756 - 1757
250815,1756 - 1757
251602,1757 - 1758
250968,1765
250975,1765
251889,
251894,
251895,18e siècle
251160,1780
251164,1780
254669,15e siècle
250818,1756 - 1757
250822,1756 - 1757
251386,1786
251388,1787
251390,1787
251486,1765
251500,1765
251502,1766
