"Nom, Prénom",mapping,infoIndexationBK_ACA,mapping_OnlyName,mapping_OnlyName_v2,Année,Pays,Section,Groupe,Jury,Œuvre description,Œuvre reproduction,Courrier,Dossier sur l'artiste,Prix,Lieu
"IMMENDORFF, JORG","immendorff, jorg",1985,immendorff,immendorff,1985,R.F.A.,SC,,,Oui,Non,Oui,Oui,Non,ACA/BK
"INABA, JUICHI","inaba, juichi",1971,inaba,inaba,1971,JAPON,SCENO,,,Oui,Non,Non,Non,Non,ACA
"INAGAKI, YOSUKE","inagaki, yosuke",1982,inagaki,inagaki,1982,JAPON,CINE/EXP,,,Oui,Non,Non,Non,Non,ACA
"INDALI, MICHEL","indali, michel",1965,indali,indali,1965,France,PEINT,,JA,Oui,Oui,Non,Non,Non,ACA
"INES DEL OLMO, VICENTE DE","ines del olmo, vicente de",,ines del olmo,ines del olmo,1965,ESPAGNE,DECO/THEA,,,Non,Non,Non,Non,Non,Non identifié
"INGENANN, W.","ingenann, w.",,ingenann,ingenann,1961,NORVEGE,DECO/THEA,,,Non,Non,Non,Non,Non,Non identifié
"INGOLFSSON, ARNI","ingolfsson, arni",,ingolfsson,ingolfsson,1980,ISLANDE,AP,,,Oui,Oui,Oui,Oui,Non,ACA
"INGOLSSON, SIGURDUR","ingolsson, sigurdur",,ingolsson,ingolsson,1982,ISLANDE,INFO/SON,BRUNI BB,,Non,Non,Non,Non,Non,Non identifié
"INIESTA, NORA","iniesta, nora",,iniesta,iniesta,1980,ARGENTINE,AP,,,Oui,Oui,Oui,Oui,Non,ACA
"INNOCENTE, ETTORE","innocente, ettore",1967,innocente,innocente,1967,ITALIE,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"INOUE, KAZUTOSHI","inoue, kazutoshi",1969,inoue,inoue,1969,JAPON,SCENO,,,Oui,Oui,Non,Oui,Non,ACA
"INUMAKI, KENJI","inumaki, kenji",1973,inumaki,inumaki,1973,JAPON,INTER,,,Oui,Non,Non,Oui,Non,ACA
"IOCOUBONIS, GUEDIMINAS","iocoubonis, guediminas",,iocoubonis,iocoubonis,1963,URSS,SC,,,Oui,Oui,Non,Non,Non,ACA
"IRARRAZAVAL, RICARDO","irarrazaval, ricardo",,irarrazaval,irarrazaval,1965,CHILI,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"IRIART, ANDRE","iriart, andre",,iriart,iriart,1967,France,TE,,,Oui,Non,Non,Non,Non,ACA
"IRWIN, GWYTHER","irwin, gwyther",1961,irwin,irwin,1961,GRANDE-BRETAGNE,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"ISCAN, FERIT","iscan, ferit","1959, 1961, 1963, 1965",iscan,iscan,1959,France,PEINT,,JA,Oui,Non,Non,Non,Non,ACA
"ISCAN, FERIT","iscan, ferit","1959, 1961, 1963, 1965",iscan,iscan,1961,France,PEINT,,CA,Oui,Non,Non,Non,Non,ACA
"ISCAN, FERIT","iscan, ferit","1959, 1961, 1963, 1965",iscan,iscan,1963,France,PEINT,,JA,Oui,Oui,Non,Non,Non,ACA
"ISCAN, FERIT","iscan, ferit","1959, 1961, 1963, 1965",iscan,iscan,1965,France,TE,SCHEMES 65,CA,Oui,Non,Non,Non,Non,ACA
"ISELI, ROLF","iseli, rolf",1959,iseli,iseli,1959,SUISSE,PEINT,,,Oui,Oui,Non,Oui,Non,ACA
"ISHII, YASUHIRO","ishii, yasuhiro",,ishii,ishii,1965,JAPON,DECO/THEA,,,Non,Non,Non,Non,Non,Non identifié
"ISHIKAWA, KANEMACA","ishikawa, kanemaca",,ishikawa,ishikawa,1969,JAPON,SCENO,,,Oui,Oui,Non,Oui,Non,ACA
"ISHIYAMA, OSAMU","ishiyama, osamu",1982,ishiyama,ishiyama,1982,JAPON,ARCHI,,,Non,Oui,Non,Non,Non,ACA
"ISNARD, VIVIEN","isnard, vivien","1971, 1975, 1973",isnard,isnard,1971,France,ENVOIS,,CG,Non,Non,Non,Non,Non,Non identifié
"ISNARD, VIVIEN","isnard, vivien","1971, 1975, 1973",isnard,isnard,1975,France,PEINT,,,Oui,Oui,Oui,Oui,Non,ACA/BK
"ISNARD, VIVIEN","isnard, vivien","1971, 1975, 1973",isnard,isnard,1973,France,AP,GROUPE 70,,Oui,Oui,Oui,Oui,Non,ACA
"ISOLA, AIMARO","isola, aimaro",1985,isola,isola,1985,ITALIE,ARCHI/TE,,,Oui,Oui,Non,Oui,Non,ACA
"ISTVAN, MIROSLAV","istvan, miroslav",,istvan,istvan,1963,TCHECOSLOVAQUIE,COMPO/MUS,,,Oui,Non,Non,Oui,Non,ACA
"ITO, JUITI","ito, juiti",1969,ito,ito,1969,JAPON,SCENO,,,Oui,Oui,Non,Oui,Non,ACA
"ITO, TAKAYASU","ito, takayasu",1961,ito,ito,1961,JAPON,PEINT,,,Oui,Non,Non,Non,Non,ACA
"ITO, TOYO","ito, toyo",,ito,ito,1982,JAPON,ARCHI,,,Non,Oui,Non,Non,Non,ACA
"IVACKOVIC, DJOKA","ivackovic, djoka",,ivackovic,ivackovic,1965,France,PEINT,,JC,Oui,Non,Non,Non,Non,ACA
"IVANCIC, LJUBO","ivancic, ljubo",,ivancic,ivancic,1961,YOUGOSLAVIE,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"IVANCIC, NINA","ivancic, nina",,ivancic,ivancic,1982,YOUGOSLAVIE,PEINT,,,Oui,Oui,Oui,Oui,Non,ACA/BK
"IVANYI, LASZLO","ivanyi, laszlo",1965,ivanyi,ivanyi,1965,France,PEINT,,JA,Oui,Non,Non,Non,Non,ACA
"IVEKOVIC, SANJA","ivekovic, sanja",1971,ivekovic,ivekovic,1971,YOUGOSLAVIE,INTER,,,Oui,Oui,Non,Oui,Non,ACA
"IWAMI, REIKA","iwami, reika",1961,iwami,iwami,1961,JAPON,GV,,,Oui,Non,Non,Non,Non,ACA
"IZENOUR, STEVEN","izenour, steven",1982,izenour,izenour,1982,ETATS-UNIS,ARCHI/TE,ECOLE DE PHILA.,,Non,Oui,Non,Non,Non,ACA
"IZZAT, LEILA","izzat, leila",,izzat,izzat,1969,REP. ARABE UNIE,PEINT,,,Oui,Oui,Non,Oui,Non,ACA
"JAAR, ALFREDO","jaar, alfredo",,jaar,jaar,1982,CHILI,PHOTO,,,Non,Non,Non,Non,Non,Non identifié
"JACCARD, CHRISTIAN","jaccard, christian",1973,jaccard,jaccard,1973,France,PEINT,,,Oui,Oui,Oui,Oui,Non,ACA
"JACKOWSKI, TADEUSZ","jackowski, tadeusz","1965, 1971",jackowski,jackowski,1965,POLOGNE,GV,,,Oui,Oui,Non,Non,Non,ACA
"JACKOWSKI, TADEUSZ","jackowski, tadeusz","1965, 1971",jackowski,jackowski,1971,POLOGNE,OPTION 4,,,Oui,Non,Non,Oui,Non,ACA
"JACKSON RIBEIRO, FERNANDO","jackson ribeiro, fernando",,jackson ribeiro,jackson ribeiro,1963,BRESIL,SC,,,Oui,Oui,Non,Non,Non,ACA
"JACOB, HARRO","jacob, harro",1971,jacob,jacob,1971,France,HYPERREA,,CG,Oui,Non,Non,Non,Non,ACA
"JACOBSEN, QUENTIN","jacobsen, quentin",1967,jacobsen,jacobsen,1967,GRANDE-BRETAGNE,PHOTO,,,Oui,Non,Non,Non,Non,ACA
"JACOT, PIERRE-MARTIN","jacot, pierre-martin","1969, 1971",jacot,jacot,1969,France,TE,,,Oui,Non,Non,Non,Oui,ACA
"JACOT, PIERRE-MARTIN","jacot, pierre-martin","1969, 1971",jacot,jacot,1971,SUISSE,ED/GV,,CG,Non,Non,Non,Non,Non,Non identifié
"JACQUET, ALAIN","jacquet, alain","1961, 1965",jacquet,jacquet,1961,France,PEINT,,JC,Oui,Oui,Non,Non,Non,ACA
"JACQUET, ALAIN","jacquet, alain","1961, 1965",jacquet,jacquet,1965,France,TE,,,Oui,Non,Non,Non,Non,ACA
"JACQUET, GUY","jacquet, guy",1967,jacquet,jacquet,1967,France,SPECTACLE,,,Oui,Non,Oui,Oui,Non,ACA
"JACQUOT, PIERRE","jacquot, pierre",1961,jacquot,jacquot,1961,France,GV,,JA,Oui,Non,Non,Non,Non,ACA
"JAEGER, IRMA SALO","jaeger, irma salo",,jaeger,jaeger,1961,NORVEGE,PEINT,,,Oui,Non,Non,Non,Non,ACA
"JAFFE, LEE","jaffe, lee",,jaffe,jaffe,1971,France,FILM,,CG,Non,Oui,Non,Non,Non,ACA
"JAFFEUX, PIERRE","jaffeux, pierre",1967,jaffeux,jaffeux,1967,France,PHOTO,,,Oui,Non,Non,Non,Non,ACA
"JAFFRENNOU, MICHEL","jaffrennou, michel",,jaffrennou,jaffrennou,1980,France,INST/VID,,,Oui,Non,Oui,Oui,Non,ACA/BK
"JAFFRENNOU, PIERRE-ALAIN","jaffrennou, pierre-alain",1973,jaffrennou,jaffrennou,1973,France,COMPO/MUS,,,Oui,Non,Non,Oui,Non,ACA
"JAHN, HELMUT","jahn, helmut",1985,jahn,jahn,1985,ETATS-UNIS,ARCHI/TE,,,Oui,Oui,Non,Oui,Non,ACA
JAKOBOIS,jakobois,1980,jakobois,jakobois,1980,France,CINE/EXP,,,Oui,Non,Non,Oui,Non,ACA/BK
"JAKUBISKO, JURAJ","jakubisko, juraj","1969, 1969",jakubisko,jakubisko,1969,TCHECOSLOVAQUIE,TE,,,Oui,Oui,Non,Non,Non,ACA
"JAKUBISKO, JURAJ","jakubisko, juraj","1969, 1969",jakubisko,jakubisko,1969,TCHECOSLOVAQUIE,FILM,,,Oui,Non,Non,Non,Non,ACA
"JAKUBOWSKA, TERESA","jakubowska, teresa",1963,jakubowska,jakubowska,1963,POLOGNE,GV,,,Oui,Oui,Non,Non,Non,ACA
"JAMBON, MICHEL","jambon, michel",1969,jambon,jambon,1969,France,TE,,,Oui,Non,Non,Non,Non,ACA
"JAMES, JOHN","james, john",,james,james,1977,GRANDE-BRETAGNE,PEINT,,,Non,Oui,Oui,Oui,Non,BK
"JAMINON, JACQUES","jaminon, jacques",,jaminon,jaminon,1982,BELGIQUE,INFO/SON,RADIO TITANIC,,Non,Non,Non,Non,Non,Non identifié
"JAMIS, FAYAD","jamis, fayad",1959,jamis,jamis,1959,CUBA,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"JAMMES, BRIGITTE","jammes, brigitte",1961,jammes,jammes,1961,France,DES,,JA,Oui,Non,Non,Non,Non,ACA
"JAN, FIRMIN","jan, firmin",1965,jan,jan,1965,France,PEINT,,CA,Oui,Oui,Non,Non,Non,ACA
"JANAKIRAM, P.V.","janakiram, p.v.",,janakiram,janakiram,1965,INDE,SC,,,Oui,Non,Oui,Non,Non,ACA
"JANCIC, OLGA","jancic, olga",,jancic,jancic,1959,YOUGOSLAVIE,SC,,,Oui,Oui,Oui,Non,Oui,ACA
"JANDOLO, RAFFAELE","jandolo, raffaele",,jandolo,jandolo,1965,ITALIE,SC,,,Non,Non,Non,Non,Non,Non identifié
"JANEKO, CHRISTOPH","janeko, christoph",,janeko,janeko,1982,R.F.A.,CINE/EXP,,,Oui,Oui,Non,Oui,Non,BK
"JANICOT, BEATRICE","janicot, beatrice","1971, 1973",janicot,janicot,1971,France,INTER/TE,,CG,Oui,Oui,Non,Non,Non,ACA
"JANICOT, BEATRICE","janicot, beatrice","1971, 1973",janicot,janicot,1973,France,FILM,,,Oui,Non,Non,Oui,Non,ACA
"JANICOT, FRANCOISE","janicot, francoise",1961,janicot,janicot,1961,France,PEINT,,JC,Oui,Oui,Non,Non,Non,ACA
"JANIK, STEFAN","janik, stefan",1965,janik,janik,1965,POLOGNE,FILM/ART,,,Oui,Non,Non,Non,Non,ACA
"JANKOVIC, JOZEF","jankovic, jozef",,jankovic,jankovic,1969,TCHECOSLOVAQUIE,SC,,,Oui,Oui,Oui,Non,Oui,ACA
"JANKOVICS, MARCELL","jankovics, marcell",1971,jankovics,jankovics,1971,HONGRIE,FILM,,,Oui,Oui,Non,Non,Non,ACA
"JANKOWSKA, BARBARA","jankowska, barbara",1965,jankowska,jankowska,1965,POLOGNE,DECO/THEA,,,Oui,Oui,Non,Non,Non,ACA
"JANKOWSKA, LILIANA","jankowska, liliana",1965,jankowska,jankowska,1965,POLOGNE,DECO/THEA,,,Oui,Oui,Non,Non,Non,ACA
"JANOLI, NOELLE","janoli, noelle",,janoli,janoli,1967,France,TE,,,Oui,Non,Non,Non,Non,ACA
"JANOSKUTI, MARTA","janoskuti, marta",1969,janoskuti,janoskuti,1969,HONGRIE,SCENO,,,Oui,Non,Non,Non,Non,ACA
"JANSEN, BERND","jansen, bernd","1985, 1980",jansen,jansen,1985,R.F.A.,ARCHI/TE,,,Oui,Oui,Oui,Oui,Non,ACA
"JANSEN, BERND","jansen, bernd","1985, 1980",jansen,jansen,1980,R.F.A.,ARCHI/TE,,,Oui,Non,Non,Non,Non,ACA
"JANSEN, PETER","jansen, peter",1963,jansen,jansen,1963,PAYS-BAS,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"JANSON, ALFRED","janson, alfred",1967,janson,janson,1967,NORVEGE,COMPO/MUS,,,Oui,Non,Non,Non,Non,ACA
"JAPPE, JEAN-PAUL","jappe, jean-paul",,jappe,jappe,1965,France,PEINT,,SR,Non,Non,Non,Non,Non,Non identifié
"JARDIEL, JOSE","jardiel, jose",1961,jardiel,jardiel,1961,ESPAGNE,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"JARLUM, JAN STURE","jarlum, jan sture",1969,jarlum,jarlum,1969,NORVEGE,SC,,,Oui,Oui,Non,Non,Non,ACA
"JARMAN, MICHAEL DEREK","jarman, michael derek",,jarman,jarman,1967,GRANDE-BRETAGNE,DECO/THEA,,,Oui,Non,Non,Non,Non,ACA
"JASKIERSKI, ZBIGNIEW","jaskierski, zbigniew",1961,jaskierski,jaskierski,1961,POLOGNE,PEINT,,,Oui,Oui,Non,Oui,Non,ACA
"JAULMES, FREDERIC","jaulmes, frederic",1980,jaulmes,jaulmes,1980,France,CINE/EXP,,,Oui,Non,Oui,Oui,Non,ACA/BK
"JAVANOVICS, GYORGY","javanovics, gyorgy",,javanovics,javanovics,1973,HONGRIE,SC,,,Oui,Oui,Oui,Oui,Non,ACA
"JAWORSKI, TADEUSZ","jaworski, tadeusz",1961,jaworski,jaworski,1961,POLOGNE,FILM/ART,,,Oui,Non,Non,Oui,Non,ACA
"JEANCLAUDE, GUY","jeanclaude, guy",1965,jeanclaude,jeanclaude,1965,France,GV,,CA,Oui,Non,Non,Non,Non,ACA
"JEANG, SONG SOUM","jeang, song soum",1961,jeang,jeang,1961,COREE DU SUD,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"JEANNESSON, JEAN-EMILE","jeannesson, jean-emile",,jeannesson,jeannesson,1965,France,TV,,,Non,Non,Non,Non,Non,Non identifié
"JEBB, JOHN","jebb, john",,jebb,jebb,1980,ETATS-UNIS,VIDEO,,,Oui,Non,Non,Oui,Non,ACA
"JEMEC, ANDREJ","jemec, andrej",1963,jemec,jemec,1963,YOUGOSLAVIE,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"JENEY, ZOLTAN","jeney, zoltan",,jeney,jeney,1969,HONGRIE,COMPO/MUS,,,Oui,Non,Non,Non,Non,ACA
"JENEY, ZOLTAN","jeney, zoltan",,jeney,jeney,1973,HONGRIE,COMPO/MUS,,,Oui,Non,Non,Oui,Non,ACA
"JENSEN, ANDERS","jensen, anders",,jensen,jensen,1980,DANEMARK,ARCHI/TE,,,Oui,Oui,Oui,Oui,Non,ACA
"JENSEN, BERIT","jensen, berit",,jensen,jensen,1982,DANEMARK,AP,,,Oui,Non,Non,Oui,Non,BK
"JEONG, TSANG SUP","jeong, tsang sup",1961,jeong,jeong,1961,COREE DU SUD,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"JESSEMIN, AUDE","jessemin, aude","1965, 1963, 1967",jessemin,jessemin,1965,France,TE,LETTRISTE,CA,Oui,Non,Non,Non,Non,ACA
"JESSEMIN, AUDE","jessemin, aude","1965, 1963, 1967",jessemin,jessemin,1963,France,TE,LETTRISTE,CA,Oui,Non,Non,Non,Non,ACA
"JESSEMIN, AUDE","jessemin, aude","1965, 1963, 1967",jessemin,jessemin,1967,France,TE,LETTRISTE,,Oui,Oui,Non,Non,Non,ACA
"JESTICO, TOM","jestico, tom",,jestico,jestico,1982,GRANDE-BRETAGNE,ARCHI/TE,,,Non,Non,Non,Non,Non,Non identifié
"JI, SOUK-CHOUL","ji, souk-choul",1982,ji,ji,1982,COREE,AP,,,Oui,Oui,Non,Non,Non,ACA/BK
"JIRA, JOZEF","jira, jozef",,jira,jira,1961,TCHECOSLOVAQUIE,PEINT,,,Oui,Non,Non,Non,Non,ACA
"JIROUT, VLADIMIR","jirout, vladimir",1967,jirout,jirout,1967,TCHECOSLOVAQUIE,TE,,,Oui,Non,Non,Non,Non,ACA
"JOANNE, JEAN-LUC","joanne, jean-luc",1969,joanne,joanne,1969,France,TE,,,Oui,Non,Oui,Non,Non,ACA
"JOANNOV, TONY","joannov, tony",,joannov,joannov,1965,GRECE,PEINT,,,Non,Non,Non,Non,Non,Non identifié
"JOBERT, YVES","jobert, yves","1965, 1965, 1963",jobert,jobert,1965,France,GV,,JA,Oui,Non,Non,Non,Non,ACA
"JOBERT, YVES","jobert, yves","1965, 1965, 1963",jobert,jobert,1965,France,DES,,JA,Oui,Non,Non,Non,Non,ACA
"JOBERT, YVES","jobert, yves","1965, 1965, 1963",jobert,jobert,1963,France,GV,,CA,Oui,Non,Non,Non,Non,ACA
"JOENECLAEY, FREDERIC","joeneclaey, frederic",,joeneclaey,joeneclaey,1982,France,VIDEO,ZARDEC,,Non,Non,Non,Non,Non,Non identifié
"JOERGENSEN, STEFFEN","joergensen, steffen",,joergensen,joergensen,1967,DANEMARK,PEINT,,,Oui,Oui,Non,Oui,Non,ACA
"JOGUET, CHARLES","joguet, charles",1965,joguet,joguet,1965,France,SC,,JA,Oui,Non,Non,Non,Non,ACA
"JOH, YONG-IK","joh, yong-ik",,joh,joh,1961,COREE DU SUD,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"JOHANNES, RALF","johannes, ralf",,johannes,johannes,1980,R.F.A.,AP,,,Oui,Oui,Oui,Oui,Non,ACA
"JOHANNESSEN, JENS","johannessen, jens",1965,johannessen,johannessen,1965,NORVEGE,PEINT,,,Oui,Non,Non,Non,Non,ACA
"JOHANSSON, ERLING","johansson, erling",1969,johansson,johansson,1969,SUEDE,FILM,,,Oui,Non,Non,Non,Non,ACA
"JOHNER, BERNARD","johner, bernard",1969,johner,johner,1969,France,TE,,,Oui,Non,Non,Non,Non,ACA
"JOHNS, JASPER","johns, jasper",1961,johns,johns,1961,ETATS-UNIS,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"JOHNSON, GLENYS","johnson, glenys",,johnson,johnson,1977,GRANDE-BRETAGNE,PERF,THE TING,,Non,Non,Non,Non,Non,Non identifié
"JOHNSON, JEROME","johnson, jerome",1963,johnson,johnson,1963,ETATS-UNIS,SC,,,Oui,Oui,Non,Non,Non,ACA
"JOHNSON, RALPH","johnson, ralph",,johnson,johnson,1982,ETATS-UNIS,ARCHI,,,Non,Non,Non,Non,Non,Non identifié
"JOHNSON, RAY","johnson, ray",,johnson,johnson,1971,ETATS-UNIS,ENVOIS,,,Non,Non,Non,Non,Non,Non identifié
"JOHNSTON, DAVID","johnston, david",1967,johnston,johnston,1967,France,PEINT,,,Oui,Non,Non,Non,Non,ACA
"JOLING, THEO","joling, theo",1967,joling,joling,1967,PAYS-BAS,FILM/ART,,,Oui,Non,Non,Non,Non,ACA
"JOMY, ALAIN","jomy, alain",1963,jomy,jomy,1963,France,FILM/ART,,CA,Oui,Non,Non,Oui,Non,ACA
"JONARD, THIERRY","jonard, thierry",,jonard,jonard,1973,BELGIQUE,FILM,,,Oui,Oui,Oui,Oui,Non,ACA
"JONES, ALLEN","jones, allen","1965, 1961, 1963, 1963, 1971, 1965",jones,jones,1965,GRANDE-BRETAGNE,GV,,,Oui,Non,Non,Oui,Non,ACA
"JONES, ALLEN","jones, allen","1965, 1961, 1963, 1963, 1971, 1965",jones,jones,1961,GRANDE-BRETAGNE,GV,,,Oui,Oui,Non,Non,Non,ACA
"JONES, ALLEN","jones, allen","1965, 1961, 1963, 1963, 1971, 1965",jones,jones,1963,GRANDE-BRETAGNE,PEINT,,,Oui,Oui,Non,Non,Oui,ACA
"JONES, ALLEN","jones, allen","1965, 1961, 1963, 1963, 1971, 1965",jones,jones,1963,GRANDE-BRETAGNE,GV,,,Oui,Oui,Non,Non,Oui,ACA
"JONES, ALLEN","jones, allen","1965, 1961, 1963, 1963, 1971, 1965",jones,jones,1971,France,HYPERREA,,CG,Oui,Non,Oui,Oui,Non,ACA
"JONES, ALLEN","jones, allen","1965, 1961, 1963, 1963, 1971, 1965",jones,jones,1965,France,GV,,,Oui,Oui,Non,Oui,Non,ACA
"JONES, GARETH","jones, gareth",,jones,jones,1982,FINLANDE,ARCHI,,,Non,Non,Non,Non,Non,Non identifié
"JONES, HARLEY","jones, harley",1967,jones,jones,1967,GRANDE-BRETAGNE,FILM/ART,,,Oui,Non,Non,Non,Non,ACA
"JONES, JOHN PAUL","jones, john paul",1959,jones,jones,1959,ETATS-UNIS,GV,,,Oui,Oui,Non,Non,Non,ACA
"JONES, KIM","jones, kim",1985,jones,jones,1985,ETATS-UNIS,INST,,,Non,Non,Oui,Oui,Non,BK
"JONIAUX, GEORGES","joniaux, georges",1967,joniaux,joniaux,1967,France,PHOTO,,,Oui,Oui,Non,Non,Non,ACA
"JONSSON, BJARNI","jonsson, bjarni",1961,jonsson,jonsson,1961,ISLANDE,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"JONSSON, BO","jonsson, bo",1967,jonsson,jonsson,1967,SUEDE,FILM/ART,,,Oui,Non,Non,Non,Non,ACA
"JORDINE, MURDELL","jordine, murdell",,jordine,jordine,1971,GRANDE-BRETAGNE,TE,,,Oui,Oui,Non,Non,Non,ACA
"JORGE, MANUELA","jorge, manuela",,jorge,jorge,1967,France,GV,,,Non,Non,Non,Non,Non,Non identifié
"JORGENSEN, PETER","jorgensen, peter",,jorgensen,jorgensen,1980,DANEMARK,ARCHI/TE,,,Oui,Oui,Oui,Oui,Non,ACA
"JORI, MARCELLO","jori, marcello",1982,jori,jori,1982,ITALIE,AP,,,Oui,Oui,Non,Oui,Non,ACA/BK
"JOSSART, J.","jossart, j.",,jossart,jossart,1982,BELGIQUE,INFO/SON,RADIO TITANIC,,Non,Non,Non,Non,Non,Non identifié
"JOUANIN, GUY-FRANCOIS","jouanin, guy-francois",,jouanin,jouanin,1967,France,GV,,,Oui,Non,Non,Non,Non,ACA
"JOUANIN, GUY-FRANCOIS","jouanin, guy-francois",,jouanin,jouanin,1967,France,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"JOUBERT, BERNARD","joubert, bernard",,joubert,joubert,1975,France,INST,,,Oui,Oui,Oui,Oui,Non,ACA/BK
"JOUET, JEAN-JACQUES","jouet, jean-jacques",1980,jouet,jouet,1980,France,CINE/EXP,,,Oui,Oui,Oui,Oui,Non,ACA/BK
"JOURDA, FRANCOISE","jourda, francoise",,jourda,jourda,1982,France,ARCHI/TE,,,Non,Non,Non,Non,Non,Non identifié
"JOURDAN-GASSIN, FRANCOISE","jourdan-gassin, francoise",,jourdan-gassin,jourdan-gassin,1980,France,AP,,,Oui,Oui,Oui,Oui,Oui,ACA
"JOURNIAC, MICHEL","journiac, michel",1965,journiac,journiac,1965,France,TE,,,Oui,Non,Oui,Non,Non,ACA
"JOUVE, FELICIEN","jouve, felicien",1965,jouve,jouve,1965,France,PEINT,,JA,Oui,Non,Non,Non,Non,ACA
"JOUVET, PIERRE","jouvet, pierre",1980,jouvet,jouvet,1980,France,CINE/EXP,,,Oui,Non,Non,Oui,Non,ACA/BK
"JOVANOVIC, DIVNA","jovanovic, divna",1967,jovanovic,jovanovic,1967,YOUGOSLAVIE,FILM/ART,,,Oui,Non,Non,Non,Non,ACA
"JOVANOVIC, JOVAN","jovanovic, jovan","1969, 1971",jovanovic,jovanovic,1969,YOUGOSLAVIE,FILM,,,Oui,Non,Non,Non,Non,ACA
"JOVANOVIC, JOVAN","jovanovic, jovan","1969, 1971",jovanovic,jovanovic,1971,YOUGOSLAVIE,FILM,,,Oui,Non,Non,Non,Non,ACA
"JOVANOVICS, GYORGY","jovanovics, gyorgy",1973,jovanovics,jovanovics,1973,HONGRIE,INST,,,Oui,Oui,Oui,Oui,Non,ACA
"JOWSEY, NANCY ELLEN","jowsey, nancy ellen",,jowsey,jowsey,1965,CANADA,DECO/THEA,,,Oui,Non,Non,Non,Non,ACA
"JOYCE, DENIS","joyce, denis",1982,joyce,joyce,1982,ETATS-UNIS,VIDEO,,,Oui,Non,Non,Oui,Non,BK
"JOYCE, VINCENT","joyce, vincent",1969,joyce,joyce,1969,GRANDE-BRETAGNE,TE,,,Oui,Non,Non,Non,Non,ACA
"JUAREZ CASTANEDA, HERIBERTO","juarez castaneda, heriberto",,juarez castaneda,juarez castaneda,1963,MEXIQUE,SC,,,Oui,Oui,Non,Non,Non,ACA
"JUDINCEV, VLADIMIR","judincev, vladimir",,judincev,judincev,1980,URSS,ARCHI/TE,,,Oui,Oui,Non,Oui,Non,ACA
JULIUS,julius,,julius,julius,1985,R.F.A.,SON,,,Non,Non,Non,Oui,Non,ACA
"JULLIEN, BENOIT","jullien, benoit",,jullien,jullien,1969,France,ARCHI/TE,,,Oui,Non,Non,Non,Non,ACA
"JUNG, YUNG-YUL","jung, yung-yul",1965,jung,jung,1965,COREE DU SUD,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"JUNIUS, JEAN-PIERRE","junius, jean-pierre",1959,junius,junius,1959,LUXEMBOURG,PEINT,,,Oui,Non,Non,Non,Non,ACA
"JUNQUERA, JERONIMO","junquera, jeronimo",1985,junquera,junquera,1985,ESPAGNE,ARCHI/TE,,,Oui,Oui,Oui,Oui,Non,ACA
"JURIE DES CANIERS, FLORENCE","jurie des caniers, florence",,jurie des caniers,jurie des caniers,1982,France,VIDEO,ZARDEC,,Non,Non,Non,Non,Non,Non identifié
"KACIMI, MOHAMED","kacimi, mohamed",1969,kacimi,kacimi,1969,MAROC,PEINT,,,Oui,Non,Non,Non,Non,ACA
"KADA, KLAUS","kada, klaus",1985,kada,kada,1985,AUTRICHE,ARCHI/TE,,,Oui,Oui,Oui,Oui,Non,ACA
"KADISHMAN, MENASHE","kadishman, menashe",1967,kadishman,kadishman,1967,ISRAEL,SC,,,Oui,Oui,Non,Non,Oui,ACA
"KADLCIK, JOZEF","kadlcik, jozef",,kadlcik,kadlcik,1967,TCHECOSLOVAQUIE,TE,,,Oui,Non,Non,Non,Non,ACA
"KAGAN, JEAN-CLAUDE","kagan, jean-claude",1963,kagan,kagan,1963,France,GV,,JA,Oui,Non,Non,Non,Non,ACA
"KAHANNE, ROGER","kahanne, roger",,kahanne,kahanne,1965,France,TV,,,Non,Non,Non,Non,Non,Non identifié
"KAIVANTO, KIMMO","kaivanto, kimmo",,kaivanto,kaivanto,1965,FINLANDE,PEINT,,,Non,Non,Non,Non,Non,Non identifié
"KAKS, OLLE","kaks, olle",,kaks,kaks,1967,SUEDE,SC,,,Oui,Oui,Non,Non,Non,ACA
"KAKS, OLLE","kaks, olle",,kaks,kaks,1967,SUEDE,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"KALAKALAS, GEORGES","kalakalas, georges",,kalakalas,kalakalas,1967,GRECE,MEDAILLE,,,Oui,Oui,Non,Oui,Non,ACA
"KALLOS, PAUL","kallos, paul",1959,kallos,kallos,1959,France,PEINT,,JC,Oui,Oui,Oui,Non,Non,ACA
