"Nom, Prénom",mapping,infoIndexationBK_ACA,mapping_OnlyName,mapping_OnlyName_v2,Année,Pays,Section,Groupe,Jury,Œuvre description,Œuvre reproduction,Courrier,Dossier sur l'artiste,Prix,Lieu
"ALANTAR, ERDAL","alantar, erdal","1965, 1967",alantar,alantar,1965,France,GV,,CA,Oui,Oui,Non,Non,Non,ACA
"ALANTAR, ERDAL","alantar, erdal","1965, 1967",alantar,alantar,1967,France,DES,,,Oui,Non,Non,Non,Non,ACA
"ALATA, FELIX-ANTOINE","alata, felix-antoine",,alata,alata,1963,France,TE,,CA,Oui,Oui,Non,Non,Oui,ACA
"ALAVANJA, NADA","alavanja, nada",1982,alavanja,alavanja,1982,YOUGOSLAVIE,AP,ALTER IMAGO,,Oui,Oui,Oui,Oui,Non,ACA/BK
"ALBAGNAC, JEAN-MARIE","albagnac, jean-marie","1965, 1965, 1959, 1961, 1963",albagnac,albagnac,1965,France,GV,,CA,Oui,Oui,Non,Non,Non,ACA
"ALBAGNAC, JEAN-MARIE","albagnac, jean-marie","1965, 1965, 1959, 1961, 1963",albagnac,albagnac,1965,France,PEINT,,CA,Oui,Non,Non,Non,Non,ACA
"ALBAGNAC, JEAN-MARIE","albagnac, jean-marie","1965, 1965, 1959, 1961, 1963",albagnac,albagnac,1959,France,GV,,CA,Oui,Non,Oui,Non,Non,ACA
"ALBAGNAC, JEAN-MARIE","albagnac, jean-marie","1965, 1965, 1959, 1961, 1963",albagnac,albagnac,1961,France,GV,,CA,Oui,Oui,Non,Non,Non,ACA
"ALBAGNAC, JEAN-MARIE","albagnac, jean-marie","1965, 1965, 1959, 1961, 1963",albagnac,albagnac,1963,France,GV,,CA,Oui,Non,Non,Non,Non,ACA
"ALBANO, RAY","albano, ray","1971, 1982",albano,albano,1971,PHILIPPINES,OPTION 4,,,Oui,Non,Non,Oui,Non,ACA
"ALBANO, RAY","albano, ray","1971, 1982",albano,albano,1982,PHILIPPINES,AP,,,Oui,Non,Non,Non,Non,ACA
"ALBEROLA, JEAN-MICHEL","alberola, jean-michel",1985,alberola,alberola,1985,France,PEINT,,,Oui,Non,Oui,Oui,Non,ACA/BK
"ALBERT, JEAN-MAX","albert, jean-max","1967, 1980",albert,albert,1967,France,TE,,,Oui,Oui,Non,Non,Non,ACA
"ALBERT, JEAN-MAX","albert, jean-max","1967, 1980",albert,albert,1980,France,ARCHI,,,Oui,Oui,Non,Oui,Non,ACA
"ALBERTINI, JACQUES","albertini, jacques",1961,albertini,albertini,1961,France,PEINT,,CA,Oui,Non,Non,Non,Non,ACA
"ALBRECHT, DIETRICH","albrecht, dietrich",,albrecht,albrecht,1977,R.F.A.,AP,,,Oui,Oui,Oui,Oui,Non,BK
"ALBRECHT, DIETRICH","albrecht, dietrich",,albrecht,albrecht,1971,R.F.A.,ENVOIS,,CG,Non,Non,Non,Non,Non,Non identifié
"ALBRIGHT, WILLIAM","albright, william",,albright,albright,1965,ETATS-UNIS,COMPO/MUS,,,Non,Non,Non,Non,Non,Non identifié
